# note: fix inconsistency with [l / y] in ~100 words. some words should be <l y> in single syllable.
# note: fix inconsistency with [* / r] in ~100 words. some words should be <* r> in single syllable.

I                                            ay
acquire                                      ax / k w ay er
acquirer                                     ax / k w ay / r er
acquisition                                  ae k / w ax / z ih / sh ax n
acquisitive                                  ax / k w ih / z ax / dx ih v
acquisitiveness                              ax / k w ih / z ax / dx ih v / n ax s
acquit                                       ax / k w ih t
acquittal                                    ax / k w ih / dx ax l
acre                                         ey / k er
acreage                                      ey / k er / ih d zh
acrid                                        ae k / r ih d
acrimonious                                  ae k / r ax / m ow / n iy / ax s
acrimoniously                                ae k / r ax / m ow / n iy / ax s / l iy
acrimony                                     ae k / r ax / m ow / n iy
acrobat                                      ae k / r ax / b ae t
acrobatic                                    ae k / r ax / b ae / dx ih k
acrobatics                                   ae k / r ax / b ae / dx ih k s
acrolein                                     ax / k r ow / l iy / ih n
acromial                                     ax / k r ow / m iy / ax l
acromioclavicular                            ax / k r ow / m iy / ow / k l ax / v ih k / y ax / l er
acromion                                     ax / k r ow / m iy / ax n
acronym                                      ae k / r ax / n ih m
acrophobia                                   ae k / r ax / f ow / b iy / ax
acropolis                                    ax / k r aa / p ax / l ih s
acropolises                                  ax / k r aa / p ax / l ih s
across                                       ax / k r aa s
acrostic                                     ax / k r aa / s t ih k
acrylic                                      ax / k r ih / l ih k
act                                          ae k t
acting                                       ae k / t ih ng
actinium                                     ae k / t ih / n iy / ax m
action                                       ae k / sh ax n
actionable                                   ae k / sh ax / n ax / b ax l
actioner                                     ae k / sh ax / n er
activate                                     ae k / t ax / v ey t
activation                                   ae k / t ax / v ey / sh ax n
active                                       ae k / t ih v
actively                                     ae k / t ih v / l iy
activism                                     ae k· t ax / v ih / z ax m
activist                                     ae k / t ax / v ih s t
activity                                     ae k / t ih / v ax / dx iy
actor                                        ae k / t er
actress                                      ae k / t r ax s
actual                                       ae k / t sh uw / ax l
actualise                                    ae k / t sh uw / ax / l ay z
actuality                                    ae k / t sh uw / ae / l ax / dx iy
actualize                                    ae k / t sh uw / ax / l ay z
actualizes                                   ae k / t sh uw / ax / l ay z
actually                                     ae k / t sh uw / ax / l iy
actuarial                                    ae k / t sh uw / eh / r iy / ax l
actuary                                      ae k / t sh uw / eh / r iy
actuate                                      ae k / t sh uw / ey t
actuation                                    ae k / t sh uw / ey / sh ax n
actuator                                     ae k / t sh uw / ey / dx er
acuity                                       ax / k y uw / ax / dx iy
acumen                                       ax / k y uw / m ax n
acupressure                                  ae k / y ax / p r eh / sh er
acupuncture                                  ae k / y ax / p ah ng k / t sh er
acupuncturist                                ae k / y ax / p ah ng k / t sh er / ih s t
acute                                        ax / k y uw t
acutely                                      ax / k y uw t / l iy
acuteness                                    ax / k y uw t / n ax s
ad                                           ae d
adage                                        ae / d ih d zh
adagio                                       ax / d aa / d zh iy / ow
adam                                         ae / d ax m
adamant                                      ae / d ax / m ax n t
adamantine                                   ae / d ax / m ae n / t ay n
adamantly                                    ae / d ax / m ax n t / l iy
adapt                                        ax / d ae p t
adaptability                                 ax / d ae p / t ax / b ih / l ax / dx iy
adaptable                                    ax / d ae p / t ax / b ax l
adaptation                                   ae / d ax p / t ey / sh ax n
adapter                                      ax / d ae p / t er
adaption                                     ae / d ax p / t ey / sh ax n
adaptive                                     ax / d ae p / t ih v
adaptively                                   ax / d ae p / t ih v / l iy
adaptiveness                                 ax / d ae p / t ih v / n ax s
adaptor                                      ax / d ae p / t er
adc                                          ey / d iy / s iy
add                                          ae d
addendum                                     ax / d eh n / d ax m
adder                                        ae / d er
addict                                       ae / d ih k t
addiction                                    ax / d ih k / sh ax n
addictive                                    ax / d ih k / t ih v
addictiveness                                ax / d ih k / t ih v / n ax s
addition                                     ax / d ih / sh ax n
additional                                   ax / d ih / sh ax / n ax l
additionally                                 ax / d ih / sh ax / n ax / l iy
additive                                     ae / d ax / dx ih v
addle                                        ae / d ax l
address                                      ae d / r eh s
addressee                                    ae d / r eh / s iy
addresses                                    ae d / r eh s
adduce                                       ax / d uw s
adduces                                      ax / d uw s
adduct                                       ax / d ah k t
adduction                                    ax / d ah k / sh ax n
adductor                                     ax / d ah k / t er
addy                                         ae / d iy
adenine                                      ae / d ax / n iy n
adenoid                                      ae / d ax / n oy d
adenoidal                                    ae / d ax / n oy / d ax l
adenovirus                                   ae / d ih / n ow / v ay / r ax s
adept                                        ax / d eh p t
adeptly                                      ax / d eh p t / l iy
adequacy                                     ae / d ax / k w ax / s iy
adequate                                     ae / d ax / k w ax t
adequately                                   ae / d ax / k w ax t / l iy
adhere                                       ax d / hh ih r
adherence                                    ax d / hh ih / r ax n s
adherent                                     ax d / hh ih / r ax n t
adhesion                                     ax d / hh iy / zh ax n
adhesive                                     ax d / hh iy / s ih v
adiabatic                                    ae / d iy / ax / b ae / dx ih k
adieu                                        ax / d uw
adios                                        ae / d iy / ow s
adipose                                      ae / d ax / p ow s
adjacency                                    ax / d zh ey / s ax n / s iy
adjacent                                     ax / d zh ey / s ax n t
adjectival                                   ae / d zh eh k / t ay / v ax l
adjectivally                                 ae / d zh eh k / t ay / v ax / l iy
adjective                                    ae / d zh eh k / t ih v
adjoin                                       ax / d zh oy n
adjoining                                    ax / d zh oy / n ih ng
adjourn                                      ax / d zh er n
adjournment                                  ax / d zh er n / m ax n t
adjudge                                      ax / d zh ah d zh
adjudicate                                   ax / d zh uw / d ax / k ey t
adjudication                                 ax / d zh uw / d ax / k ey / sh ax n
adjudicator                                  ax / d zh uw / d ax / k ey / dx er
adjunct                                      ae / d zh ah ng k t
adjure                                       ax / d zh uh r
adjust                                       ax / d zh ah s t
adjustable                                   ax / d zh ah s / t ax / b ax l
adjustment                                   ax / d zh ah s t / m ax n t
adjutant                                     ae / d zh ax / t ax n t
adjuvant                                     ae / d zh ax / v ax n t
adman                                        ae d / m ae n
admen                                        ae d / m ae n
